compound index,SMILES,PMID,animal type,gender,animal weight (g),injection dosage (μCi),logBB at60min,brain at60min,blood at60min,liver at60min,lung at60min,kidney at60min,muscle at60min,spleen at60min,intestine at60min,bone at60min,stomach at60min,uterus at60min,heart at60min,fat at60min,pancreas at60min,ref No,DOI
42294-18F23,O=C(O)CC[C@H](OC(=O)N[C@@H](CCCCNC(=O)c1ccc(Br)cc1F)C(=O)O)C(=O)O,26629713,NOD-SCID mouse,male,25.0,20.0,,,1.6,11.9,2.62,139.0,0.31,9.62,1.29,0.48,0.67,,0.79,0.79,0.8,42294,10.1021/acs.jmedchem.5b01268
42294-18F24,O=C(O)CC[C@H](OC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1F)C(=O)O)C(=O)O,26629713,NOD-SCID mouse,male,25.0,20.0,,,2.9,15.5,3.31,122.0,0.57,7.81,1.41,0.78,0.99,,1.23,0.88,1.23,42294,10.1021/acs.jmedchem.5b01268
42298-18F-AmBF3-Bu-2NI,C[N+](C)(CCCCn1ccnc1[N+](=O)[O-])C[B-](F)(F)F,29247455,NOD-SCID mouse,male,,94.6,-2.98,0.03,0.59,0.87,0.47,1.01,1.32,0.38,4.67,0.24,0.18,,0.55,0.1,0.61,42298,10.1002/jlcr.3594
42312-18FIPFP,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccc(I)cc1)C(=O)N[C@@H](CCCCNC(=O)C(C)F)C(N)=O,29358724,BALB/c mouse,male,22.5,5.0,,,,,,,,,,,,,,,,42312,10.1038/s41598-018-19890-1
42316-18FFEM,Cc1ccc(S(=O)(=O)OCCOCCF)cc1,32354567,BALB/c mouse,female,18.0,27.0,-0.86,0.91,2.16,17.95,0.95,14.26,0.97,1.23,8.96,1.16,2.91,,1.36,,,42316,10.1016/j.bmcl.2020.127200
42335-18F,O=c1cc(COc2cccc(OCCF)c2)[nH]c2nc(-c3ccccc3)nn12,25457456,ddY mouse,male,27.0,5000.55,-3.91,0.25,12.44,25.59,6.11,20.84,1.03,1.87,9.96,1.49,0.72,,3.64,,1.7,42335,10.1016/j.nucmedbio.2014.10.006
42338-77Br,OC1C[C@@H]2CCCC[C@H]2CC1N1CCC(c2ccccc2Br)CC1,24953217,SD rat,,275.0,3.0,2.52,0.5,0.04,1.62,1.23,1.68,,1.02,1.69,,0.22,,0.27,,2.98,42338,10.1002/syn.21756
42355-11C,COc1ccccc1CCCCCCC(=O)c1ncc(-c2ccccn2)o1,26505525,ddY mouse,male,35.0,54.06,1.08,0.88,0.3,,0.64,6.2,0.24,0.37,13.75,,,,0.32,,13.69,42355,10.1021/acschemneuro.5b00248
42366-pictilisib,Cn1ncc2c(-c3nc(N4CCOCC4)c4sc(CN5CCN(S(C)(=O)=O)CC5)cc4n3)cccc21,31787861,BALB/c mouse,female,16.0,100.01,-1.81,0.23,1.4,23.42,,4.56,0.74,2.26,18.87,0.73,4.12,,,,,42366,10.1155/2019/1760184
42428-18F15,C[C@]12CCC3C(C1CC[C@@H]2O)[C@H](CCCF)C[C@H]1CC(=O)CC[C@]31C,27680022,SD rat,male,375.0,216.0,,,0.09,1.52,0.09,,0.06,0.07,,0.49,,,,0.28,,42428,10.1007/s12149-016-1130-7
42428-18F7,C[C@]12CCC(=O)C=C1C[C@@H](CCCF)C1C2CC[C@@]2(C)C1CC[C@@H]2O,27680022,SD rat,male,375.0,216.0,,,0.16,0.86,0.15,,0.11,0.11,,1.83,,,,0.48,,42428,10.1007/s12149-016-1130-7
42443-11C2,CN1CCc2c(n(Cc3ccc(C(=O)NO)cc3)c3ccccc23)C1,31881107,ddY mouse,male,33.1,129.74,-1.05,0.27,0.77,5.39,3.22,7.47,0.85,1.46,9.11,0.77,3.51,,1.09,,,42443,10.1002/jlcr.3823
42443-18F3,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)CCN(CCF)C3)cc1,31881107,ddY mouse,male,33.1,20.81,-0.95,0.45,1.16,4.91,2.29,4.66,0.88,1.81,10.4,1.26,1.46,,1.58,,,42443,10.1002/jlcr.3823
42454-11CPF-04457845,O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1,23731552,SD rat,male,350.0,1027.14,3.73,3.75,0.09,,,,,,,,,,,,,42454,10.1016/j.nucmedbio.2013.04.008
42470-18FTZ3108,O=C(c1ccc(F)cc1)C1CCN([C@H]2CCN(Cc3ccc(F)cc3)C[C@@H]2O)CC1,28129990,SD rat,male,,59.47,3.79,0.88,0.02,2.84,1.88,2.12,0.08,2.71,,0.37,,,0.25,0.08,1.67,42470,10.1016/j.bmc.2017.01.017
42476-11CMFTC,Cc1ncccc1CC(=O)N1CCC(c2nnc(-c3ccccc3F)[nH]2)CC1,25398123,ddY mouse,male,27.0,54.06,1.84,2.78,0.44,4.51,5.54,12.6,0.12,1.15,2.51,,,,0.34,,,42476,10.1021/cn500269g
42898-FDiFA,O=[N+]([O-])c1nccn1CC(CO)(CO)CF,29845425,BALB/c mouse,male,22.5,270.3,,,2.4,3.7,,6.54,2.1,,,1.39,,,2.38,,,42898,10.1007/s11307-018-1214-y
42915-18F,COc1ccc(OC)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,22885394,ICR mouse,,20.0,59.0,1.35,1.12,0.29,1.79,34.84,10.49,1.68,10.34,5.01,1.28,,,12.16,,,42915,10.1016/j.apradiso.2012.05.018
43014-18F,CC(F)C(=O)N[C@@H](CCC(N)=O)C(=O)O,27153544,Kunming mouse,female,22.0,30.0,-0.47,1.42,2.27,1.8,1.63,2.28,1.58,1.5,1.57,1.8,1.24,,2.15,,1.14,43014,10.18632/oncotarget.9115
43015-18F,CC[C@@]1(O)C(=O)OCC2C(=O)N3Cc4cc5cc(OC)ccc5nc4C3CC21,22885394,ICR mouse,,20.0,59.47,-0.44,0.25,0.39,2.0,0.48,0.53,0.21,0.55,1.1,0.18,,,0.28,,,43015,10.1016/j.apradiso.2012.05.018
43016-18F14,C[C@](N)(CCCCCF)C(=O)O,26967318,BALB/c mouse,male,25.0,32.0,-1.57,0.5,2.4,2.7,2.3,13.1,1.5,2.9,,1.8,,,2.4,0.5,27.6,43016,10.1021/acs.jmedchem.6b00189
43016-18F15,N[C@@H](CCCCCF)C(=O)O,26967318,BALB/c mouse,male,25.0,28.0,0.13,4.2,3.7,4.2,3.6,7.0,3.6,4.6,,2.9,,,4.9,0.8,29.3,43016,10.1021/acs.jmedchem.6b00189
43038-11CDMCYS,CSC[C@@H](N)C(=O)O,23183886,Kunming mouse,female,22.0,270.3,-0.09,1.45,1.58,1.1,1.35,0.79,1.24,,1.08,0.12,0.91,,1.16,,4.17,43038,10.3390/molecules171213948
43038-11CPIB,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,23183886,Kunming mouse,female,22.0,270.3,-0.71,0.23,0.47,0.33,0.31,0.29,0.31,,0.33,0.06,0.3,,0.4,,0.39,43038,10.3390/molecules171213948
43069- 125I3,O=C(O)CC[C@H](NC(=O)N[C@@H](CSC1CC(=O)N(CCCC[C@H](NC(=O)CNC(=O)c2cccc(I)c2)C(=O)O)C1=O)C(=O)O)C(=O)O,24063417,mouse,male,23.0,700.08,,,1.0,13.9,2.5,92.8,0.5,36.5,16.5,,1.0,,1.3,,,43069,10.1021/jm400895s
43123-2-18FFGlc-PSMA-18F7,O=C(O)C[C@H](NC(=O)N[C@@H](CCCCNC(=O)CCc1cn(C2OC(CO)C(O)C(O)C2F)nn1)C(=O)O)C(=O)O,32011889,nude mouse,female,18.5,121.64,-1.04,0.06,0.17,0.27,0.24,72.0,0.86,0.49,0.08,,,,0.12,,,43123,10.1021/acs.molpharmaceut.9b01179
43123-6-18FFGlc-PSMA-18F8,O=C(O)C[C@H](NC(=O)N[C@@H](CCCCNC(=O)CCc1cn(C2OC(CF)C(O)C(O)C2CO)nn1)C(=O)O)C(=O)O,32011889,nude mouse,female,18.5,94.6,-1.5,0.02,0.09,0.43,0.19,3.2,0.14,0.12,0.21,,,,0.05,,,43123,10.1021/acs.molpharmaceut.9b01179
43133-18FfmPBR28-d2,CC(=O)N(Cc1ccccc1CF)c1cnccc1Oc1ccccc1,33189950,C57BL/6 mouse,female,19.5,400.04,,,,,,,,,,,,,,,,43133,10.1016/j.nucmedbio.2020.10.001
43163-18F-THK-5035,CCN(CC)c1ccc(-c2ccc3cc(OC(CO)CF)ccc3n2)cc1,26697966,ICR mouse,male,36.0,500.06,,1.32,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5105,CN(C)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,26697966,ICR mouse,male,36.0,500.06,,1.0,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5107,CN(C)c1ccc(-c2ccc3ccc(OCC(O)CF)cc3n2)cc1,26697966,ICR mouse,male,36.0,500.06,,0.47,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5116,Nc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,26697966,ICR mouse,male,36.0,500.06,,0.57,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5117,CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,26697966,ICR mouse,male,36.0,500.06,,0.26,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5125,CCNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,26697966,ICR mouse,male,36.0,500.06,,0.61,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5129,CN(C)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cn1,26697966,ICR mouse,male,36.0,500.06,,1.03,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5140,Nc1ccc(-c2ccc3cc(OCCOCCOCCF)ccc3n2)cc1,26697966,ICR mouse,male,36.0,500.06,,1.22,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5151,CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cn1,26697966,ICR mouse,male,36.0,500.06,,0.46,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5156,CN(C)c1ccc2nc(-c3ccc(N(C)C)c(OCC(O)CF)c3)ccc2c1,26697966,ICR mouse,male,36.0,500.06,,0.26,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-523,Nc1ccc(-c2ccc3cc(OCCF)ccc3n2)cc1,26697966,ICR mouse,male,36.0,500.06,,1.46,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5287,CN(C)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)nc1,26697966,ICR mouse,male,36.0,500.06,,1.12,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5307,CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)nc1,26697966,ICR mouse,male,36.0,500.06,,0.23,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5377,CN(C)c1ccc(-c2ccc3cc(OCCF)ccc3n2)cc1,26697966,ICR mouse,male,36.0,500.06,,1.33,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43163-18F-THK-5378,CN(C)c1ccc(-c2ccc3cc(OCCCF)ccc3n2)cc1,26697966,ICR mouse,male,36.0,500.06,,1.72,,,,,,,,,,,,,,43163,10.2967/jnumed.115.166652
43218-18FFACH,CCCN(CCCF)c1ccc(/C=C(\C#N)C(=O)O)c(OC)c1,33562048,CD-1 mouse,female,34.0,14.33,,,,,,,,,,,,,,,,43218,10.3390/ijms22041645
43230- 11C5a,COc1cc(NC(=O)NNc2cc(C(C)C)c3c(C)nn(C)c3n2)cc(Cl)n1,26108234,SJL mouse,female,21.0,76.0,,,,,,,,,,,,,,,,43230,10.1039/c5ob00951k
43263-18F-FDDNP,CC(=C(C#N)C#N)c1ccc2cc(N(C)CCF)ccc2c1,23857514,ICR mouse,male,30.0,100.01,,2.14,,,,,,,,,,,,,,43263,10.2967/jnumed.112.117341
43263-18F-THK-5105,CN(C)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,23857514,ICR mouse,male,30.0,100.01,,1.0,,,,,,,,,,,,,,43263,10.2967/jnumed.112.117341
43263-18F-THK-5116,Nc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,23857514,ICR mouse,male,30.0,100.01,,0.57,,,,,,,,,,,,,,43263,10.2967/jnumed.112.117341
43263-18F-THK-5117,CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,23857514,ICR mouse,male,30.0,100.01,,0.26,,,,,,,,,,,,,,43263,10.2967/jnumed.112.117341
43263-18F-THK-523,Nc1ccc(-c2ccc3cc(OCCF)ccc3n2)cc1,23857514,ICR mouse,male,30.0,100.01,,1.46,,,,,,,,,,,,,,43263,10.2967/jnumed.112.117341
43287-18FFmpp1,CC(C)(C)n1ncc(OCc2cccc(Cn3cc(COCCF)nn3)c2)c(Cl)c1=O,27646847,Kunming mouse,,,270.3,,,5.48,7.91,4.56,7.19,6.29,3.74,,10.79,,,10.0,,,43287,10.1038/srep33450
43287-18FFmpp2,CC(C)(C)n1ncc(OCc2cccc(Cn3cc(COCCOCCF)nn3)c2)c(Cl)c1=O,27646847,Kunming mouse,,,270.3,,,3.65,5.1,4.21,10.5,8.25,3.67,,5.07,,,18.2,,,43287,10.1038/srep33450
43287-18FFmpp3,CC(C)(C)n1ncc(OCc2cccc(Cn3cc(COCCOCCOCCF)nn3)c2)c(Cl)c1=O,27646847,Kunming mouse,,,270.3,,,5.03,4.02,4.69,7.42,10.0,3.96,,6.48,,,13.0,,,43287,10.1038/srep33450
43301-18FTriacoxib,Cc1cc(-n2cc(-c3ccc(F)cc3)nn2)n(-c2ccc(S(C)(=O)=O)cc2)n1,31816246,nude mouse,female,22.0,810.9,,1.07,,12.15,2.58,,1.87,,,1.93,,,,,,43301,10.1021/acs.molpharmaceut.9b00986
43304-2S5R-18FFASu,N[C@@H](CC[C@@H](F)CCC(=O)O)C(=O)O,31792837,mouse,female,,97.0,-1.64,0.13,0.67,0.95,2.69,16.6,0.23,3.98,2.56,1.69,1.41,6.93,0.3,0.04,27.0,43304,10.1007/s11307-019-01450-2
43304-2S5S-18FFASu,N[C@@H](CC[C@H](F)CCC(=O)O)C(=O)O,31792837,mouse,female,,75.7,-1.49,0.11,0.49,0.68,1.62,0.74,0.15,3.12,2.3,0.96,1.16,4.28,0.23,0.03,26.1,43304,10.1007/s11307-019-01450-2
43307-2-77Br-BAMP,CC(N)(Cc1ccccc1Br)C(=O)O,25814518,ddY mouse,,28.0,0.4,,,0.55,0.89,0.77,3.15,,0.6,0.56,,0.21,,0.74,,3.28,43307,10.2967/jnumed.114.152215
43307-4-77Br-BAMP,CC(N)(Cc1ccc(Br)cc1)C(=O)O,25814518,ddY mouse,,28.0,0.4,,,2.96,3.53,3.07,22.0,,3.61,1.98,,0.94,,3.63,,19.37,43307,10.2967/jnumed.114.152215
43308-18F-FNDP,O=C(NCCC(c1ccccc1)c1ccccc1)c1ccc(F)nc1,27417650,CD-1 mouse,male,26.0,100.01,,0.76,,,,,,,,,,,,,,43308,10.2967/jnumed.116.173245
43340-18F-KS1,O=C1O/C(=C/CCl)C(O)=C1OCc1ccc(OCCF)cc1,36411624,ICR mouse,,,1113.0,,,,,,,,,,,,,,,,43340,10.1016/j.biopha.2022.113937
43358-4-18F-FGln,NC(=O)[C@H](F)C[C@H](N)C(=O)O,30850970,BALB/c mouse,female,21.0,405.45,-0.91,1.2,2.98,4.63,2.46,3.23,2.72,,6.3,4.13,,,3.53,,,43358,10.1007/s11307-019-01330-9
43359-11C-CS1P1,Cc1ccccc1-c1ccc(-c2nc(-c3ccc(CN(C)CCC(=O)O)c(F)c3)no2)cc1C(F)(F)F,31165387,swiss mouse,,28.0,200.02,0.94,2.66,1.04,40.24,2.61,28.91,0.37,1.14,9.94,0.03,0.98,,1.17,0.13,1.17,43359,10.1007/s11307-019-01380-z
43362-18F-ET-OTSSP167,CC(=O)c1cnc2ccc(-c3cc(Cl)c(OCF)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,34482695,mouse,female,,50.01,-0.57,2.91,5.15,19.8,11.2,12.4,4.07,37.8,8.23,6.52,4.87,,4.79,,,43362,10.1021/acs.molpharmaceut.1c00454
43367-11C-PIB,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,22801729,C57BL/6 mouse,male,30.0,229.76,0.09,0.12,0.11,0.57,,0.89,,,5.69,,,,,,,43367,10.1007/s00259-012-2178-9
43367-18F-flutemetamol,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,22801729,C57BL/6 mouse,male,30.0,81.09,-0.05,0.2,0.21,0.54,,0.82,,,6.12,0.04,,,,,,43367,10.1007/s00259-012-2178-9
43371-(+)11C-OMDV,Cc1ccccc1C1CCN([C@@H]2C[C@@H]3CCCC[C@H]3C[C@@H]2O)CC1,32500935,SD rat,male,275.0,1000.11,2.87,0.35,0.02,,,,,,,,,,,,,43371,10.1002/syn.22176
43371-(-)11C-OMDV,Cc1ccccc1C1CCN([C@H]2C[C@@H]3CCCC[C@H]3C[C@@H]2O)CC1,32500935,SD rat,male,275.0,1000.11,3.3,0.54,0.02,,,,,,,,,,,,,43371,10.1002/syn.22176
43373-18F-B-MET,CSCC[C@@H]([NH3+])[B-](F)(F)F,29285548,nude mouse,female,,100.0,-1.91,0.19,1.3,17.03,2.96,5.04,1.17,1.96,1.77,1.6,1.44,,1.31,,8.6,43373,10.1007/s00259-017-3910-2
43400-18F-FPGLU,CC(F)C(=O)N[C@@H](CCC(=O)O)C(=O)O,24681642,Kunming mouse,,20.0,20240.0,-0.55,0.89,1.54,2.07,1.17,3.25,0.74,0.99,1.03,0.75,0.94,,1.27,,0.77,43400,10.1371/journal.pone.0093262
43418-18F4,CC/N=c1/cc2oc3cc(N(C)CC)c(C)cc3c(-c3ccccc3C(=O)OCCOCC)c-2cc1C,26205075,SD rat,,,45.0,,,0.07,0.15,0.58,7.9,0.12,2.01,1.39,0.29,,,1.32,,,43418,10.1016/j.nucmedbio.2015.06.008
43422-18F4b,N=C(N)NCCC[C@@H]1NC(=O)[C@H](Cc2cn([C@@H]3OC(CF)[C@@H](O)[C@H](O)C3O)nn2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,24325589,nude mouse,,25.0,189.21,-0.25,0.07,0.09,2.46,0.43,1.69,0.68,0.49,0.6,0.23,,,0.26,,,43422,10.1021/mp4004817
43422-18F4e,N=C(N)NCCC[C@@H]1NC(=O)[C@H](Cc2cn([C@@H]3OC(CO)[C@@H](OC4OC(CF)[C@@H](O)C(O)[C@@H]4O)[C@H](O)C3O)nn2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,24325589,nude mouse,,25.0,189.21,-0.66,0.14,0.27,0.95,0.5,1.01,0.3,0.45,0.72,0.28,,,0.25,,0.19,43422,10.1021/mp4004817
43461-131I-IUdR,O=C1NC(=O)N([C@H]2C[C@@H](O)[C@@H](CO)O2)CC=C1I,23602704,mouse,female,21.0,82.98,-2.45,0.31,3.61,1.4,1.84,2.78,1.21,4.71,4.06,1.49,17.94,,1.01,,2.32,43461,10.1016/j.apradiso.2013.03.021
43461-131IICdR,NC1=NC(=O)N([C@H]2C[C@@H](O)[C@@H](CO)O2)CC=C1I,23602704,mouse,female,21.0,82.98,-3.01,0.19,3.87,1.26,1.52,2.74,0.7,3.88,3.27,0.76,8.62,,1.21,,1.76,43461,10.1016/j.apradiso.2013.03.021
43476-11C1,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccc2ncnn2c1,36455802,Foxn1nu mouse,,20.0,4000.44,,0.08,,9.83,,5.39,0.33,,,,,,0.62,,,43476,10.1016/j.bmcl.2022.129088
43483- 11C-L-CMTP,COc1ccc2[nH]cc(C[C@H](N)C(=O)O)c2c1,27612031,C57BL/6 mouse,male,22.0,20.0,-0.41,1.39,2.1,10.58,1.96,8.5,1.12,1.82,2.26,1.14,1.64,,2.08,,12.14,43483,10.1097/mnm.0000000000000583
43484-11C1,COc1cc2ccccc2nc1COc1ccc(-c2nn(C)cc2-c2ccncc2)cc1,24721831,SD rat,male,335.0,448.7,-0.89,0.11,0.28,6.4,0.3,1.27,0.14,,,,,,0.2,0.5,,43484,10.1016/j.bmc.2014.03.028
43484-11C2,COc1cc(COc2ccc(-c3nn(C)cc3-c3ccncc3)cc2)nc2ccccc12,24721831,SD rat,male,335.0,448.7,-0.83,0.07,0.15,8.94,0.16,0.76,0.08,,,,,,0.12,0.28,,43484,10.1016/j.bmc.2014.03.028
43484-11C3,COc1ccc2nc(COc3ccc(-c4nn(C)cc4-c4ccncc4)cc3)ccc2c1,24721831,SD rat,male,335.0,448.7,-1.04,0.07,0.21,1.72,0.25,0.64,0.13,,,,,,0.18,0.14,,43484,10.1016/j.bmc.2014.03.028
43484-11C4,COc1cc(COc2ccc(-c3c(-c4ccncc4)cnn3C)cc2)nc2ccccc12,24721831,SD rat,male,335.0,448.7,-1.4,0.02,0.07,4.59,0.11,0.57,0.05,,,,,,0.1,0.14,,43484,10.1016/j.bmc.2014.03.028
43489-18F-BQ2,COc1cccc2ccc(/C=N/N=C/c3ccc4cccc(OCCF)c4n3)nc12,33258582,ddY mouse,male,,2.0,-1.59,1.35,6.64,7.45,4.39,5.83,,2.22,12.4,1.93,5.41,,3.95,,2.16,43489,10.1021/acschemneuro.0c00523
43502-18F13d,CN(C)C[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2CCCCCF,22658558,SD rat,male,,30.0,,,,,,,,,,,,,,,,43502,10.1016/j.bmcl.2012.05.030
43502-18F6b,CN(CCF)C[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,22658558,SD rat,male,,30.0,,,,,,,,,,,,,,,,43502,10.1016/j.bmcl.2012.05.030
43502-18F6d,CN(CCCF)C[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,22658558,SD rat,male,,30.0,,,,,,,,,,,,,,,,43502,10.1016/j.bmcl.2012.05.030
43506-125I-DMIC,CN(C)c1ccc(/C=C/C(=O)c2ccc(I)cc2)cc1,29751990,ddY mouse,male,23.0,30.0,,,,,,,,,,,,,,,,43506,10.1016/j.bmc.2018.05.001
43506-125I-IMC,CNc1ccc(/C=C/C(=O)c2ccc(I)cc2)cc1,29751990,ddY mouse,male,23.0,30.0,,,,,,,,,,,,,,,,43506,10.1016/j.bmc.2018.05.001
43506-18F-Florbetapir,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,29751990,ddY mouse,male,23.0,30.0,,,,,,,,,,,,,,,,43506,10.1016/j.bmc.2018.05.001
43506-18F-FMC,CNc1ccc(/C=C/C(=O)c2ccc(F)cc2)cc1,29751990,ddY mouse,male,23.0,30.0,,,,,,,,,,,,,,,,43506,10.1016/j.bmc.2018.05.001
43530-18FDCFPyL,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(F)nc1)C(=O)O)C(=O)O,27270097,NOD-SCID mouse,male,20.0,60.0,,,0.72,3.48,1.41,128.13,0.36,5.61,0.53,0.35,0.5,,0.32,0.84,0.61,43530,10.1021/acs.bioconjchem.6b00195
43530-18FYC-88,CCCC(=O)NCCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O.Fn1ccnn1,27270097,NOD-SCID mouse,male,20.0,60.0,,,0.29,1.73,0.49,20.08,0.11,0.69,0.25,0.16,0.34,,0.18,0.31,0.16,43530,10.1021/acs.bioconjchem.6b00195
43546-125I-1,CCCCc1ccc(NS(=O)(=O)c2ccc(C)c(C(=O)N3CCN(c4ccccc4I)CC3)c2)cc1,27163884,BALB/c mouse,,20.0,5.0,-3.16,0.03,0.71,13.3,0.17,0.88,8.21,0.05,38.13,1.21,0.65,,0.12,,,43546,10.1016/j.ejmech.2016.04.066
43555-C3-7a-18FFES,COCc1ccc2c(c1)C[C@@H](CCCF)[C@@H]1[C@@H]2CC[C@]2(C)C(COC)CC[C@@H]12,25823392,ddY mouse,female,23.0,54.0,-0.52,0.25,0.42,2.54,0.61,1.25,0.4,0.38,4.07,8.71,,3.11,0.49,0.82,1.43,43555,10.1016/j.nucmedbio.2015.03.005
43560-FAC,CCOC(=O)CF,22019094,SD rat,male,210.0,1349.19,,1.36,,1.42,1.46,1.41,,1.34,1.66,,1.08,,1.71,,1.02,43560,10.1016/j.apradiso.2011.09.025
43585-18F7,COc1cc2c(cc1OC)CN(CCCCCCNC(=O)c1cc(C)ccc1OCCF)CC2,27589334,BALB/c mouse,female,20.0,30.0,-2.11,0.2,1.65,14.5,2.63,5.59,0.53,3.09,,0.89,,,1.59,,41.0,43585,10.1016/j.nucmedbio.2016.08.001
43643-11C-CB184,CCCN(CCC)C(=O)Cc1c(-c2ccc(OC)cc2)nc2c(Cl)cc(Cl)cn12,25616581,ddY mouse,male,36.0,108.0,,,0.64,6.66,13.82,11.69,,10.08,5.08,,,,7.72,,3.57,43643,10.1007/s12149-015-0948-8
43643-11C-CB190,CCCCN(CCCC)C(=O)Cc1c(-c2ccc(OC)cc2)nc2c(Cl)cc(Cl)cn12,25616581,ddY mouse,male,36.0,108.0,,,0.59,2.09,51.52,8.98,,4.31,3.48,,,,10.55,,3.24,43643,10.1007/s12149-015-0948-8
43692-18F-FPDOPA,CC(F)C(=O)NC(Cc1ccc(O)c(O)c1)C(=O)O,28456080,Kunming mouse,female,23.0,28.62,-0.67,1.78,3.49,3.06,2.65,4.17,2.61,2.38,,2.9,2.69,,2.91,,2.11,43692,10.1016/j.nucmedbio.2017.04.002
43701-18F-PSMA-1007,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)c1ccc(CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)c2ccc(F)nc2)cc1)C(=O)O)C(=O)O,27789722,BALB/c mouse,male,22.0,40.5,-2.04,0.1,0.77,1.14,2.09,142.08,0.94,12.44,1.2,,,,1.45,,,43701,10.2967/jnumed.116.181768
43705-DMCYS,CSC[C@@H](N)C(=O)O,25534431,Kunming mouse,female,29.0,60.0,-0.43,0.26,0.4,0.17,0.15,0.1,0.24,,0.21,,0.11,,0.16,,1.13,43705,10.1007/s00726-014-1899-4
43705-LMCYS,CSC[C@H](N)C(=O)O,25534431,Kunming mouse,female,29.0,60.0,-0.8,0.13,0.29,0.53,0.27,0.29,0.38,,0.35,,0.28,,0.31,,2.29,43705,10.1007/s00726-014-1899-4
43805-11C2,COc1ccc(C(=O)C2CCN([C@H]3Cc4ccccc4C[C@@H]3O)CC2)cc1,24865402,SD rat,male,200.0,286.2,-0.02,0.2,0.21,1.7,0.34,0.47,0.09,0.35,,,,,0.16,0.62,0.71,43805,10.1007/s11307-014-0749-9
43805-11C6,COc1ccc(C(=O)C2CCN([C@H]3Cc4ccccc4C[C@@H]3O)CC2)cn1,24865402,SD rat,male,200.0,148.5,0.01,0.18,0.18,1.55,0.56,0.76,0.16,0.47,,,,,0.2,0.28,0.66,43805,10.1007/s11307-014-0749-9
